Local;Local sem codigo;Endereço;Latitude;Longitude
1031 - EEEM SANTA MARIA DE BELÉM;EEEM SANTA MARIA DE BELÉM;Rua Dos Mundurucus, Entre Apinages E, Tv. Padre Eutíquio, 1624 - Batista Campos, Belém - PA, 66025-660;-1.461657;-48.490021
1023 - COLÉGIO IDEAL;COLÉGIO IDEAL;R. dos Mundurucus, 1412 - Batista Campos, Belém - PA, 66025-660;-1.462735;-48.491071
1040 - COLÉGIO SANTA ROSA;COLÉGIO SANTA ROSA;Tv. Padre Eutíquio, 1549 - Batista Campos, Belém - PA, 66025-230;-1.459866;-48.491250
1074 - EEEF JOSÉ VERÍSSIMO;EEEF JOSÉ VERÍSSIMO;Rua Presidente Pernambuco, 573, Esq, Av. Conselheiro Furtado, 573 - Batista Campos, Belém - PA, 66015-200;-1.459038;-48.490631
1066 - EEEF AMAZONAS DE FIGUEIREDO;EEEF AMAZONAS DE FIGUEIREDO;Próximo à esquina com Travessa Padre Eutíquio, R. dos Timbiras, S/N - Batista Campos, Belém - PA, 66033-442;-1.463508;-48.486356
1112 - ASSEMBLEIA PARAENSE - SEDE SOCIAL;ASSEMBLEIA PARAENSE - SEDE SOCIAL;Av. Pres. Vargas, 762 - Campina, Belém - PA, 66017-902;-1.452892;-48.494950
1120 - EEEM PAES DE CARVALHO;EEEM PAES DE CARVALHO;Praca Saldanha Marinho, R. Praça da Bandeira, 10 - Campina, Belém - PA, 66015-050;-1.453976;-48.499615
1511 - INSTITUTO DE EDUCAÇÃO DO ESTADO DO PARÁ;INSTITUTO DE EDUCAÇÃO DO ESTADO DO PARÁ;Tv Gama Abreu esquina com, Av. Serzedelo Corrêa, 224 - Campina, Belém - PA, 66033-265;-1.454363;-48.493025
1147 - COLÉGIO SALESIANO NOSSA SENHORA DO CARMO;COLÉGIO SALESIANO NOSSA SENHORA DO CARMO;Tv. Dom Bôsco, 72 - Cidade Velha, Belém - PA, 66020-210;-1.458564;-48.505515
1155 - EEEF CALDEIRA CASTELO BRANCO;EEEF CALDEIRA CASTELO BRANCO;Travessa De Breves, Idreja Da Conceicao, 215 - Cidade Velha, Belém - PA, 66020-100;-1.465575;-48.500480
1163 - EEEFM GENERAL GURJÃO;EEEFM GENERAL GURJÃO;Rua Triunvirato, Entre 16 De Novembro E, R. Ângelo Custódio, 662 - Cidade Velha, Belém - PA, 66020-655;-1.461933;-48.498736
1171 - EEEFM RUI BARBOSA;EEEFM RUI BARBOSA;Tv. Joaquim Távora, 408 - Cidade Velha, Belém - PA, 66023-730;-1.457716;-48.502822
1180 - EEEFM DAVID SALOMÃO MUFARREJ;EEEFM DAVID SALOMÃO MUFARREJ;Av. Alm. Tamandaré, 256 - Cidade Velha, Belém - PA, 66023-300;-1.460951;-48.501961
1201 - COLÉGIO SANTO ANTONIO;COLÉGIO SANTO ANTONIO;Av. Assis de Vasconcelos, S/N - Campina, Belém - PA, 66010-010;-1.448704;-48.496950
